"","da","pa","qa","pg","qg","RMSE","AIC"
"250",0,2,1,3,1,0.0899923725460687,-3.27471079184837
"251",0,2,1,3,2,0.0898058293554326,-3.31041954048689
"252",0,2,1,3,3,0.0898244668759876,-3.31145804054338
"253",0,2,2,0,1,0.0899233161045151,-2.80334452130159
"254",0,2,2,0,2,0.0899232511889755,-2.80318622897386
"255",0,2,2,0,3,0.0897595605176602,-2.78608468272244
"256",0,2,2,1,0,0.0898556472092777,-2.93932726212902
"257",0,2,2,1,1,0.0900667308816388,-3.17181789201476
"258",0,2,2,1,2,0.090070782751085,-3.13809229310503
"259",0,2,2,1,3,0.0897689272700631,-3.31052702032107
"260",0,2,2,2,0,0.0899283265952537,-3.01866732130282
"261",0,2,2,2,1,0.0897672165341811,-3.31052276196323
"262",0,2,2,2,2,0.0897655012194934,-3.31084747660562
"263",0,2,2,2,3,0.0897718240752671,-3.31125941511973
"264",0,2,2,3,0,0.0897803339786648,-3.09932472324401
"265",0,2,2,3,1,0.0897669672865761,-3.31023247726698
"266",0,2,2,3,2,0.0898337576738972,-3.27348682853353
"267",0,2,2,3,3,0.0897823618932721,-3.31160070471248
"268",0,2,3,0,1,0.089765759006744,-2.78616405436428
"269",0,2,3,0,2,0.0899237208810211,-2.80302868274871
"270",0,2,3,0,3,0.0899528475634867,-2.80292349340241
"271",0,2,3,1,0,0.0898626311207717,-2.9219228612296
"272",0,2,3,1,1,0.0898790919226461,-3.29230795135182
"273",0,2,3,1,2,0.0898613937606103,-3.29255174884501
"274",0,2,3,1,3,0.0897929174655508,-3.31048118600329
"275",0,2,3,2,0,0.0897435440059933,-3.0010699346675
"276",0,2,3,2,1,0.0897906991713893,-3.31034887654221
"277",0,2,3,2,2,0.0897872397197622,-3.31067639943949
"278",0,2,3,2,3,0.0897932343458696,-3.31120501949805
"279",0,2,3,3,0,0.0897612722831171,-2.83808117671402
"280",0,2,3,3,1,0.089790097665537,-3.31019056094293
"281",0,2,3,3,2,0.0897874939447288,-3.31051812931034
"282",0,2,3,3,3,0.0899011882389144,-3.20933898162814
"283",0,2,4,0,1,0.0900315449211692,-2.80314187055003
"284",0,2,4,0,2,0.090029016935697,-2.80638438817574
"285",0,2,4,0,3,0.0900277733716342,-2.80282570641756
"286",0,2,4,1,1,0.089856000753272,-3.3103311651141
"287",0,2,4,1,2,0.0899177360403933,-3.29167653802725
"288",0,2,4,1,3,0.0898590010819251,-3.31030986844232
"289",0,2,4,2,0,0.0905949303661432,-2.85435416144691
"290",0,2,4,2,1,0.0898558116112666,-3.3101728987503
"291",0,2,4,2,2,0.0898521413993497,-3.31049879610468
"292",0,2,4,2,3,0.0898603078180337,-3.31103074361812
"293",0,2,4,3,0,0.0897332377756798,-3.09964414439005
"294",0,2,4,3,1,0.0898402203737487,-3.29211828443331
"295",0,2,4,3,2,0.0913818170859448,-3.0837065606963
"296",0,2,4,3,3,0.0898455044955036,-3.31130420973495
"297",0,2,5,0,1,0.0899323809261644,-2.80340269781587
"298",0,2,5,0,3,0.0899545846826222,-2.80309567040211
"299",0,2,5,1,0,0.0897934816039906,-2.9216697626085
"300",0,2,5,1,1,0.0899240726825845,-3.29190625476314
"301",0,2,5,1,2,0.089829313221824,-3.30991340555077
"302",0,2,5,2,0,0.0899435705383433,-3.01897718113585
"303",0,2,5,2,1,0.0899271563621164,-3.29209000474633
"304",0,2,5,2,2,0.0898164512552581,-3.31022346602482
"305",0,2,5,2,3,0.0898390327700464,-3.31074963579903
"306",0,2,5,3,0,0.0898729029218912,-3.0817206060495
"307",0,2,5,3,1,0.0900165569697858,-3.29139223902765
"308",0,2,5,3,2,0.0898249042665609,-3.31005814167476
"309",0,2,5,3,3,0.0898497862447779,-3.31107905728055
"310",0,2,6,0,1,0.0899391010173283,-2.80325823285919
"311",0,2,6,0,2,0.0900173148913495,-2.78590426399407
"312",0,2,6,0,3,0.08993012266641,-2.80294741738813
"313",0,2,6,1,0,0.0903105058860478,-2.77470622284152
"314",0,2,6,1,1,0.089831858658482,-3.30977199293123
"315",0,2,6,1,2,0.0898297936452927,-3.30964094364555
"316",0,2,6,1,3,0.0898333802981799,-3.30974929064456
"317",0,2,6,2,0,0.0901669027753513,-3.01985484971022
"318",0,2,6,2,1,0.0898304790132631,-3.30961387906687
"319",0,2,6,2,2,0.0898305055699364,-3.30993752767178
"320",0,2,6,2,3,0.0898361318330525,-3.31046826650514
"321",0,2,6,3,0,0.0897186589704485,-3.09891846173647
"322",0,2,6,3,1,0.0898326730113855,-3.30945820016353
"323",0,2,6,3,2,0.0898301739507015,-3.30977767845033
"324",0,2,6,3,3,0.0898441084955008,-3.31080068752462
"325",0,2,7,0,1,0.0899402876850659,-2.80310546060318
"326",0,2,7,0,2,0.0899425947817035,-2.80294785198111
"327",0,2,7,0,3,0.0899480965787536,-2.80279570879056
"328",0,2,7,1,0,0.0902047923341448,-2.93979911629323
